Provision type,Ofsted region,Local authority,Sector,Places,Organisation which owns the provider
Children's home,West Midlands,Shropshire,Private,2,Reflexion Care Group Limited
Children's home,West Midlands,Sandwell,Private,4,Spring Meadow Children's Home
Children's home,North West,Lancashire,Private,2,Sandcastle Care Ltd
Children's home,West Midlands,Shropshire,Local Authority,2,Shropshire Council
Children's home,West Midlands,Staffordshire,Private,4,Horizon Care and Education Group Limited
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,2,Laska Care And Education Ltd
Children's home,South West,Cornwall,Voluntary,3,South West Complex Care Services
Children's home,London,Newham,Private,4,Gordon Care Services Limited
Children's home,East Midlands,Northamptonshire,Private,4,Children & Adolescents Placement Provisions Ltd
Children's home,West Midlands,Stoke-on-Trent,Private,4,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,4,Cambian Childcare Ltd
Children's home,London,Redbridge,Private,2,Hill Top Childrens Care Limited
Children's home,South East,Surrey,Voluntary,7,The National Centre For Young People With Epilepsy
Independent Fostering Agency,"North East, Yorkshire and the Humber",Leeds,Private,,SWIIS Foster Care Limited
Children's home,West Midlands,Wolverhampton,Private,4,Cambian Childcare Ltd
Children's home,North West,Blackburn with Darwen,Local Authority,5,Blackburn with Darwen Borough Council
Children's home,West Midlands,Shropshire,Private,2,Keys Nhcc Ltd
Children's home,South East,Kent,Local Authority,6,Kent County Council
Children's home,East of England,Cambridgeshire,Private,4,M.J. Childrens Services Limited
Children's home,North West,Tameside,Private,5,Oakfields Children's Care Limited
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,2,Timeout Childrens Homes Ltd
Independent Fostering Agency,North West,Oldham,Private,,Alpha Plus Fostering Limited
Children's home,West Midlands,Wolverhampton,Private,2,Eagle Children's Home
Children's home,North West,Oldham,Private,4,Lifetime Opportunities Ltd
Children's home,North West,Knowsley,Private,3,Quality Protects Children Ltd
Children's home,"North East, Yorkshire and the Humber",Calderdale,Private,1,Timeout Childrens Homes Ltd
Children's home,West Midlands,Staffordshire,Private,3,Hygge Care Ltd
Boarding School,"North East, Yorkshire and the Humber",Kirklees,Voluntary,260,Society For The Reformation Of Muslims
Independent Fostering Agency,London,Harrow,Private,,Connect Fostering Services Ltd
Children's home,East of England,Peterborough,Private,4,The Beeches UK Ltd
Children's home,"North East, Yorkshire and the Humber",Sunderland,Voluntary,6,Together for Children Sunderland Limited
Children's home,East Midlands,Nottingham,Private,5,Homes 2 Inspire Limited
Children's home,West Midlands,Walsall,Local Authority,6,Walsall Metropolitan Borough Council
Adoption Support Agency,South East,Brighton and Hove,Private,,
Independent Fostering Agency,London,Camden,Voluntary,,Thomas Coram Foundation for Children
Children's home,North West,Tameside,Local Authority,6,Tameside Metropolitan Borough Council 
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Local Authority,6,North Yorkshire County Council
Independent Fostering Agency,East of England,Essex,Private,,Children First Fostering Agency Limited 03894588 
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Local Authority,8,Hull City Council
Children's home,"North East, Yorkshire and the Humber",Durham,Local Authority,3,Durham County Council
Children's home,South East,Kent,Private,3,Ethelbert Specialist Homes Limited
Residential Special School,East of England,Suffolk,Private,16,
Children's home,South East,East Sussex,Private,2,Anderida Adolescent Care Ltd
Children's home,"North East, Yorkshire and the Humber",Darlington,Private,5,Acorn Care (UK) Limited
Children's home,North West,Stockport,Private,3,Cornerstone Children's Homes Limited
Children's home,North West,Bolton,Voluntary,4,Birtenshaw
Children's home,West Midlands,Telford and Wrekin,Private,5,Hillcrest Children's Services (2) Limited
Children's home,West Midlands,Staffordshire,Private,5,Hillcrest Children's Services (2) Limited
Independent Fostering Agency,East of England,Luton,Private,,Sunbeam Pride Fostering Service Lim
Residential Family Centre,East of England,Suffolk,Voluntary,4,Break
Residential special school (registered as a children's home),East Midlands,Nottinghamshire,Private,54,Kedleston (Wings Education) Limited
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Local Authority,6,Hull City Council
Children's home,"North East, Yorkshire and the Humber",Durham,Local Authority,5,Durham County Council
Children's home,North West,Wirral,Private,3,Milestones Care Homes Ltd
Children's home,East Midlands,Leicestershire,Private,3,Esland North Limited
Children's home,North West,Bury,Private,3,Next Stage 4Life LTD
Children's home,North West,Lancashire,Private,2,Nurture Childcare Services Ltd
Children's home,West Midlands,Staffordshire,Private,3,Horizon Care and Education Group Limited
Children's home,West Midlands,Sandwell,Private,3,Accalia Care Services Ltd
Independent Fostering Agency,London,Redbridge,Private,,Ryancare Fostering Limited
Boarding School,West Midlands,Dudley,Local Authority,470,Dudley Metropolitan Borough Council
Boarding School,South West,Isles of Scilly,Local Authority,20,Council of the Isles of Scilly
Independent Fostering Agency,London,Redbridge,Voluntary,,Barnardo's
Children's home,North West,Lancashire,Private,3,Brinscall Care Limited
Children's home,North West,Manchester,Private,2,Proactive Care
Children's home,"North East, Yorkshire and the Humber",Wakefield,Local Authority,2,Wakefield Metropolitan District Council
Children's home,East of England,Essex,Private,4,Cambian Childcare Ltd
Children's home,South East,Buckinghamshire,Private,4,Keys Care Ltd
Children's home,West Midlands,Worcestershire,Private,8,Worcestershire Children First
Children's home,South West,Devon,Private,3,Impact For Change Ltd
Children's home,South East,Hampshire,Private,6,Fairways Care (uk) Limited
Children's home,North West,Cheshire East,Private,6,Homes For Support Limited
Children's home,North West,Wigan,Private,3,Social Care Services ( clayton ) Ltd
Independent Fostering Agency,London,Redbridge,Private,,Shine Fostering
Children's home,East of England,Essex,Private,3,Cambian Childcare Ltd
Children's home,South West,Plymouth,Private,1,Phoenix Learning & Care Holdings Limited
Children's home,East of England,Thurrock,Private,4,Satash Community Care Project Limited
Children's home,West Midlands,Shropshire,Private,5,Cambian Childcare Ltd
Further Education College with Residential Accommodation,East Midlands,Leicestershire,Private,224,
Children's home,North West,Lancashire,Private,1,XYP Childcare Limited
Children's home,South East,Kent,Private,3,Ethelbert Specialist Homes Limited
Children's home,West Midlands,Herefordshire,Private,4,Keys Education Ltd
Children's home,North West,Liverpool,Private,4,The Partnership Of Care Today
Children's home,North West,Rochdale,Private,1,Cambian Childcare Ltd
Children's home,East Midlands,Leicestershire,Private,4,Horizon Care and Education Group Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,4,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,4,Cambian Childcare Ltd
Independent Fostering Agency,East of England,Essex,Private,,Aspirations Fostering Limited
Children's home,South West,Somerset,Private,2,Solent Child Care Ltd
Residential Holiday Scheme for Disabled Children,South East,Kent,Private,,Imago Community
Children's home,East of England,Southend on Sea,Private,5,Kites Children Service's Ltd
Children's home,South East,Surrey,Local Authority,2,Surrey County Council
Children's home,North West,Blackpool,Private,4,Sandcastle Care Ltd
Independent Fostering Agency,"North East, Yorkshire and the Humber",Durham,Private,,
Residential Family Centre,East of England,Essex,Private,4,Savannah Lodge Limited
Children's home,South East,Kent,Private,3,Parkview Care (broadstairs) Limited
Children's home,North West,Cumbria,Private,6,A Wilderness Way Ltd
Children's home,South West,Wiltshire,Private,5,Autonomy Plus Limited
Children's home,East of England,Central Bedfordshire,Private,4,Swan Children's Homes Ltd
Children's home,East Midlands,Derby,Private,3,Sunlight Children's Care Limited
Children's home,North West,Wigan,Private,1,Future Focused Ltd
Children's home,North West,Sefton,Private,2,Pelican Care Group Ltd
Children's home,London,Redbridge,Voluntary,3,Barnardo's
Children's home,North West,Warrington,Private,5,Bright Futures Care Limited
Children's home,North West,Warrington,Private,1,Continuum Support - Care Services Ltd
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Local Authority,6,Newcastle City Council
Children's home,"North East, Yorkshire and the Humber",Leeds,Local Authority,5,Leeds City Council
Children's home,East Midlands,Northamptonshire,Private,2,Good News Nwk Ltd
Children's home,East of England,Norfolk,Private,8,Priory Education Services Limited
Children's home,West Midlands,Staffordshire,Private,3,Cambian Childcare Ltd
Children's home,East Midlands,Derbyshire,Private,6,Enabling Futures Ltd
Children's home,"North East, Yorkshire and the Humber",Leeds,Private,3,Cambian Childcare Ltd
Residential Family Centre,South East,Kent,Private,5,Majestic Family Services Limited
Children's home,East of England,Suffolk,Private,4,The Ryes College Limited
Children's home,"North East, Yorkshire and the Humber",Durham,Private,4,A Significant Other Limited
Children's home,"North East, Yorkshire and the Humber",Bradford,Local Authority,10,City of Bradford Metropolitan District Council
Children's home,North West,Sefton,Private,4,Exceptional Care Ltd
Children's home,West Midlands,Dudley,Private,3,Positive Outcomes Childcare Limited
Children's home,East Midlands,Nottinghamshire,Private,3,Footsteps to Futures Limited
Voluntary Adoption Agency,London,Croydon,Voluntary,,Diagrama Children's Services Limited
Voluntary Adoption Agency,"North East, Yorkshire and the Humber",Doncaster,Voluntary,,Yorkshire Adoption Agency Ltd
Voluntary Adoption Agency,London,City of London,Voluntary,,SSAFA Forces Help Enterprises Limited
Residential Special School,South East,East Sussex,Local Authority,38,East Sussex County Council
Boarding School,South East,East Sussex,Voluntary,135,Michael Hall School Ltd
Children's home,North West,Lancashire,Private,1,Care Afloat Ltd
Children's home,West Midlands,Stoke-on-Trent,Private,1,Searchlight Care Services Ltd
Children's home,North West,Wirral,Private,4,Good Foundations Limited
Children's home,"North East, Yorkshire and the Humber",Durham,Private,3,Cambian Childcare Ltd
Voluntary Adoption Agency,West Midlands,Birmingham,Voluntary,,Birmingham Children's Trust Community Interest Company
Children's home,West Midlands,Birmingham,Voluntary,3,Birmingham Children's Trust Community Interest Company
Children's home,North West,Lancashire,Private,4,Lonsdale Care Ltd
Children's home,West Midlands,Staffordshire,Private,2,Esland North Limited
Independent Fostering Agency,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,,The Ethical Fostering Service Limited
Children's home,West Midlands,Staffordshire,Private,6,Hillcrest Children's Services (2) Limited
Children's home,East Midlands,Leicestershire,Private,3,Esland North Limited
Children's home,South West,Cornwall,Private,3,Devon & Cornwall Autistic Community Trust (t/a Spectrum)
Children's home,East Midlands,Leicestershire,Private,4,The Place Young People's Company Limited
Children's home,South West,Devon,Private,3,Blue Elephant Childcare Ltd
Children's home,West Midlands,Telford and Wrekin,Private,2,Horizon Care and Education Group Limited
Children's home,West Midlands,Staffordshire,Private,2,Horizon Care and Education Group Limited
Independent Fostering Agency,West Midlands,Staffordshire,Private,,Families First Fostering Ltd
Children's home,South West,Swindon,Private,3,Park Blue Homes Limited
Children's home,West Midlands,Staffordshire,Private,5,Compass Children's Homes Ltd
Further Education College with Residential Accommodation,East of England,Norfolk,Voluntary,122,
Children's home,East Midlands,Derbyshire,Private,3,Platform Childcare Ltd
Independent Fostering Agency,London,Enfield,Private,,Outset Fostering Agency Ltd
Children's home,"North East, Yorkshire and the Humber",Barnsley,Private,1,Prime Adolescence Limited
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Local Authority,1,Hull City Council
Children's home,West Midlands,Staffordshire,Private,3,Albrighton Care Ltd
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Private,6,Hennessy Living Group Limited
Children's Home,North West,Blackpool,Private,1,Sandcastle Care Ltd
Children's home,"North East, Yorkshire and the Humber",Kirklees,Private,5,CareTech Community Services Limited
Children's home,North West,St Helens,Private,1,Crossway Services Limited
Children's home,"North East, Yorkshire and the Humber",Darlington,Private,5,Young Foundations Ltd
Children's home,South East,West Sussex,Private,6,Southern Adolescent Care Services Ltd
Children's home,North West,Sefton,Private,3,After Care Nw Limited
Children's home,North West,Lancashire,Private,5,Hexagon Care Services Limited
Children's home,East Midlands,Leicestershire,Private,3,Horizon Care and Education Group Limited
Children's home,West Midlands,Birmingham,Private,4,Compass Children's Homes Ltd
Independent Fostering Agency,South West,Somerset,Private,,Fusion Fostering Limited
Children's home,South West,Dorset,Private,3,Cambian Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Private,6,Priory Education Services Limited
Residential Special School,South East,Hampshire,Private,44,Treloar Trust
Children's home,South East,Surrey,Private,8,Bramley Care Limited
Residential Special School,South East,Surrey,Voluntary,112,Gard'ner Memorial Limited
Children's home,East of England,Cambridgeshire,Private,5,Castle Homes Limited
Children's home,East of England,Cambridgeshire,Voluntary,6,The Partnership of The Chartwell Group 
Children's home,South West,Somerset,Private,3,Keys Group Progressive Care & Education Limited
Children's home,South West,Gloucestershire,Private,4,Chances CCFSS Limited
Residential Special School,East of England,Essex,Voluntary,8,Autism Anglia
Children's home,South West,Wiltshire,Private,4,Wessex College Limited
Children's home,"North East, Yorkshire and the Humber",Doncaster,Private,2,Esland North Limited
Children's home,East Midlands,Northamptonshire,Private,5,Homes 2 Inspire Limited
Children's home,"North East, Yorkshire and the Humber",North Yorkshire,Local Authority,6,North Yorkshire County Council
Children's home,"North East, Yorkshire and the Humber",Doncaster,Private,3,First 4 Care Ltd
Children's home,South East,Hampshire,Local Authority,4,Hampshire County Council
Children's home,"North East, Yorkshire and the Humber",Wakefield,Private,4,Horizon Care and Education Group Limited
Children's home,West Midlands,Staffordshire,Private,6,Hillcrest Children's Services (2) Limited
Children's home,South West,Wiltshire,Private,4,New Forest Care
Children's home,South East,Kent,Private,1,Moonreach Limited
Children's home,"North East, Yorkshire and the Humber",Doncaster,Voluntary,4,Doncaster Children's Services Trust Limited
Independent Fostering Agency,London,Southwark,Private,,Banya Family Placement Agency Limited
Independent Fostering Agency,South East,Kent,Private,,Family Fostering Limited
Children's home,North West,Wigan,Private,2,Crystal Care Solutions Limited
Children's home,South East,Hampshire,Private,4,The Serendipity Centre Limited
Children's home,South East,Kent,Private,4,Acorn Homes (uk) Limited
Children's home,West Midlands,Staffordshire,Private,4,Esland North Limited
Independent Fostering Agency,South East,Kent,Private,,Lighthouse Fostering Limited
Children's home,West Midlands,Staffordshire,Private,2,Platform Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",North Lincolnshire,Private,4,Absolute Childrens Services Ltd
Children's home,East of England,Suffolk,Private,5,Priory Education Services Limited
Children's home,London,Waltham Forest,Private,8,Footsteps Care Limited
Children's home,North West,St Helens,Private,1,PIC Children's Services Limited
Children's home,North West,St Helens,Private,1,PIC Children's Services Limited
Children's home,South East,Kent,Private,7,Acorn Homes (uk) Limited
Children's home,West Midlands,Warwickshire,Private,4,Archways Care Ltd
Children's home,East of England,Norfolk,Private,6,Unique Care Homes Support Limited
Children's home,South East,Bracknell Forest,Private,4,SWAAY Child and Adolescent Services Limited
Children's home,West Midlands,Birmingham,Private,4,Nh Care Limited
Children's home,South East,Kent,Private,4,Channels and Choices Limited
Residential Family Centre,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,4,Dragonfly Childrens Services Limited
Children's home,West Midlands,Wolverhampton,Private,3,Penn Inspires Ltd
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Private,1,Cambian Childcare Ltd
Children's home,North West,Cumbria,Private,2,Active Ark Limited
Children's home,North West,Blackburn with Darwen,Private,5,The Partnership Of Care Today
Children's home,London,Redbridge,Private,5,Oak house Childrens Home Ltd
Boarding School,South East,Kent,Private,107,Sussex Summer Schools Ltd
Children's home,West Midlands,Staffordshire,Private,3,Oracle Care Limited
Children's home,"North East, Yorkshire and the Humber",Barnsley,Private,5,Dove Adolescent Services Limited
Children's home,West Midlands,Birmingham,Private,4,Serenity Specialist Care Ltd
Children's home,South East,West Sussex,Private,8,Treehouse Educare Limited
Independent Fostering Agency,East of England,Essex,Private,,Aim High Fostering Services Ltd
Children's home,North West,St Helens,Private,3,Continuum Support - Care Services Ltd
Children's home,South East,Isle of Wight,Private,4,Leeward Care Ltd
Children's home,South West,Plymouth,Private,1,Cambian Childcare Ltd
Children's home,West Midlands,Herefordshire,Private,5,Keys Care Ltd
Children's home,West Midlands,Birmingham,Private,3,Beacon Childcare Limited
Children's home,North West,Blackpool,Private,2,SBL CARESERVICES (UK) LTD
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,1,Vcare - 24 Limited
Children's home,North West,Lancashire,Private,3,Holywell Children's Services Limited
Children's home,West Midlands,Herefordshire,Private,4,Cambian Childcare Ltd
Children's home,North West,Halton,Private,1,Cambian Childcare Ltd
Children's home,South West,Torbay,Private,2,Cambian Childcare Ltd
Independent Fostering Agency,West Midlands,Birmingham,Private,,Abacus Fostering Limited
Children's home,East of England,Hertfordshire,Local Authority,7,Hertfordshire County Council
Residential special school (registered as a children's home),"North East, Yorkshire and the Humber",Calderdale,Private,12,Young Foundations Ltd
Children's home,South East,Surrey,Private,6,Cameron And Cooper Limited
Children's home,East of England,Cambridgeshire,Private,11,Cambian Childcare Ltd
Boarding School,South East,Oxfordshire,Private,160,Oxford International College Ltd
Children's home,West Midlands,Birmingham,Private,2,Stanfield Care Services Limited
Children's home,West Midlands,Staffordshire,Private,5,Cambian Childcare Ltd
Children's home,East Midlands,Lincolnshire,Private,15,Aspiration House Ltd
Residential Family Centre,London,Waltham Forest,Private,6,Care 2 Share Ltd
Children's home,North West,Blackpool,Private,2,A-Triangle Care Ltd
Children's home,North West,Cumbria,Private,2,Sandcastle Care Ltd
Children's Home,West Midlands,Shropshire,Private,3,Reflexion Care Group Limited
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Local Authority,4,Middlesbrough Borough Council
Children's home,West Midlands,Dudley,Voluntary,1,St Christopher's Fellowship
Children's home,North West,Knowsley,Private,3,Omega Care Group Ltd
Residential Special School,South West,Gloucestershire,Voluntary,15,The English Dominican Congregation (STONE) Charitable Fund
Children's home,"North East, Yorkshire and the Humber",Kirklees,Voluntary,7,Hollybank Trust 1043129
Children's home,"North East, Yorkshire and the Humber",Kingston upon Hull,Local Authority,8,Hull City Council
Independent Fostering Agency,"North East, Yorkshire and the Humber",Redcar and Cleveland,Voluntary,,Action For Children
Independent Fostering Agency,London,Havering,Private,,Five Rivers Child Care Limited
Independent Fostering Agency,South East,Kent,Private,,Kent Homefinding and Fostering Ltd
Children's home,South East,Wokingham,Private,4,SWAAY Child and Adolescent Services Limited
Adoption Support Agency,North West,Cumbria,Private,,About Children Limited
Children's home,South West,Devon,Private,3,Keys Group Progressive Care & Education Limited
Children's home,South West,Devon,Private,1,One To One Crisis Intervention Ltd
Residential Special School,South West,Devon,Local Authority,14,Devon County Council
Children's home,West Midlands,Staffordshire,Private,6,Esland North Limited
Children's home,North West,Tameside,Private,2,The Partnership Of Care Today
Independent Fostering Agency,North West,Lancashire,Private,,Excel Fostering Limited
Children's home,North West,Cumbria,Private,5,North Lakes Children's Services Limited
Children's home,"North East, Yorkshire and the Humber",Doncaster,Private,2,First 4 Care Ltd
Children's home,North West,Lancashire,Private,4,Choices 4 Children Ltd
Residential special school (registered as a children's home),West Midlands,Staffordshire,Private,23,Priory Education Services Limited
Independent Fostering Agency,London,Ealing,Private,,Caring Hearts Fostering Ltd
Children's home,London,Redbridge,Private,6,Woodford Children's Home Ltd
Children's home,North West,Bury,Private,3,Next Stage 4Life LTD
Children's home,South West,Torbay,Private,2,Phoenix Childcare Ltd
Children's home,South East,Reading,Private,7,Kennet Care Limited
Children's home,North West,Tameside,Private,3,Pure Care Homes ltd
Children's home,East Midlands,Nottinghamshire,Private,4,Abbey Green Therapeutic Children's Services Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,7,Witherslack Group Ltd
Independent Fostering Agency,East Midlands,Northamptonshire,Local Authority,,Northamptonshire Childrens Trust Limited
Children's home,East Midlands,Northamptonshire,Local Authority,5,Northamptonshire Childrens Trust Limited
Adoption Support Agency,South West,Devon,Private,,Joanna North Adoption Limited
Children's home,North West,Cumbria,Local Authority,4,Cumbria County Council
Independent Fostering Agency,London,Sutton,Private,,Ascent Fostering Agency Limited
Children's home,"North East, Yorkshire and the Humber",East Riding of Yorkshire,Private,5,Cambian Childcare Ltd
Children's home,East of England,Essex,Private,6,Pathways Care Group
Voluntary Adoption Agency,London,Islington,Voluntary,,Family Futures Cic
Independent Fostering Agency,"North East, Yorkshire and the Humber",Darlington,Private,,Acorn Care (NE) Limited
Children's home,South West,Devon,Private,2,Phoenix Learning & Care Holdings Limited
Children's home,West Midlands,Shropshire,Private,6,Cambian Childcare Ltd
Children's home,South East,Kent,Private,3,Benecare Limited
Children's home,East Midlands,Leicestershire,Private,4,Platform Childcare Ltd
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Private,5,Hennessy Living Group Limited
Secure children's home,South East,East Sussex,Local Authority,7,East Sussex County Council
Children's home,South West,Bristol,Local Authority,6,Bristol City Council
Children's home,South East,East Sussex,Local Authority,8,East Sussex County Council
Residential Special School,South West,Somerset,Voluntary,23,
Children's home,East Midlands,Nottinghamshire,Private,4,Keys Educational Services Limited
Children's home,"North East, Yorkshire and the Humber",Barnsley,Private,3,Castle Homes Care Ltd
Children's home,West Midlands,Stoke-on-Trent,Local Authority,2,Stoke On Trent City Council
Children's home,North West,Sefton,Voluntary,19,Nugent Care 2019
Children's home,London,Lewisham,Private,11,Creating Care Choices Limited
Children's home,London,Lewisham,Private,3,Ownlife Limited
Children's home,South East,Southampton,Private,5,Priory Education Services Limited
Children's home,North West,Knowsley,Voluntary,4,New Start
Children's home,West Midlands,Birmingham,Private,3,Positive Pathways Limited
Children's home,West Midlands,Birmingham,Private,2,Positive Pathways Limited
Children's home,North West,Wigan,Private,2,Inspire Childrens Services
Children's home,London,Redbridge,Private,4,Tulip Care Two Limited
Residential special school (registered as a children's home),South West,Dorset,Private,22,The Sheiling Special Education Trust
Children's home,South East,Kent,Private,5,Back On Track Children's Services Se Ltd.
Children's home,London,Camden,Private,10,Area Camden Ltd
Children's home,North West,Sefton,Private,4,Family Care Associates Limited
Children's home,West Midlands,Worcestershire,Private,4,Worcestershire Children First
Children's home,West Midlands,Worcestershire,Private,4,Worcestershire Children First
Children's home,North West,Blackpool,Private,2,Oaktree Childcare Ltd
Independent Fostering Agency,East of England,Essex,Voluntary,,Flowers Fostering Ltd
Children's home,West Midlands,Worcestershire,Private,10,Lakeside @ Our Place Limited
Children's home,North West,Warrington,Private,2,Cambian Childcare Ltd
Children's home,East Midlands,Leicestershire,Private,3,Inspirations Leicestershire Ltd
Children's home,South West,Gloucestershire,Private,4,Flourish (Gloucestershire) Limited
Independent Fostering Agency,London,Redbridge,Private,,Amber Fostering Ltd
Children's home,West Midlands,Staffordshire,Private,4,Unity Residential Care Services Limited
Children's home,"North East, Yorkshire and the Humber",Stockton-on-Tees,Local Authority,5,Stockton On Tees Borough Council
Children's home,London,Enfield,Private,6,Educare Support Limited
Children's home,North West,Sefton,Private,3,After Care Nw Limited
Children's home,North West,Cheshire East,Voluntary,3,Safe Places For Children Uk
Children's home,London,Merton,Private,4,Children Of The Mangrove Limited
Children's home,North West,Wigan,Private,4,Apex Childrens Services Ltd
Children's home,South West,Devon,Local Authority,3,Devon County Council
Children's home,"North East, Yorkshire and the Humber",Newcastle upon Tyne,Local Authority,3,Newcastle City Council
Children's home,West Midlands,Stoke-on-Trent,Private,3,Monach Intervention Services Limited
Children's home,London,Barking and Dagenham,Private,4,The Vine Residential Services (tvrs) Ltd.
Children's home,East Midlands,Nottingham,Local Authority,2,Nottingham City Council
Children's home,West Midlands,Birmingham,Private,6,Cambian Childcare Ltd
Residential special school (registered as a children's home),South East,Hampshire,Voluntary,30,The Loddon Foundation Ltd
Residential special school (registered as a children's home),East of England,Cambridgeshire,Voluntary,7,The Partnership of The Chartwell Group 
Children's home,West Midlands,Shropshire,Private,4,Family Care Associates Limited
Children's home,West Midlands,Shropshire,Private,6,Castle Homes Care Ltd
Residential Special School,North West,St Helens,Voluntary,6,Wargrave House Limited
Children's home,East of England,Norfolk,Voluntary,11,Institute of Integrated Systemic Therapy
Children's home,North West,Stockport,Voluntary,5,The Together Trust
Residential Family Centre,West Midlands,Staffordshire,Voluntary,9,Living Springs
Children's home,"North East, Yorkshire and the Humber",Redcar and Cleveland,Private,2,Tees-Valley Care Limited
Children's home,South West,Cornwall,Local Authority,5,Cornwall Council
Children's home,West Midlands,Sandwell,Private,3,Cambian Childcare Ltd
Independent Fostering Agency,East of England,Norfolk,Private,,Anglia Fostering Agency Ltd
Children's home,"North East, Yorkshire and the Humber",Redcar and Cleveland,Private,4,Highfield (North East) Limited
Children's home,North West,Lancashire,Private,3,Lifetime Opportunities Ltd
Children's home,West Midlands,Shropshire,Private,1,Bryn Melyn Care Limited
Children's home,South East,Wokingham,Private,3,Calcot Services For Children Ltd
Children's home,South East,East Sussex,Private,4,Springfield Road Childrens Homes Ltd
Children's home,East of England,Bedford,Private,4,Benjamin Uk Ltd
Children's home,South East,Medway,Local Authority,6,Medway Council
Children's home,"North East, Yorkshire and the Humber",Durham,Private,2,Roc Family Support Ltd
Children's home,North West,Tameside,Private,6,Full Circle Care Ltd
Children's home,North West,Cheshire West and Chester,Private,4,Keys ACE Limited
Children's home,North West,Cheshire West and Chester,Private,2,Fairfield Residential Ltd
Residential special school (registered as a children's home),South East,Kent,Local Authority,56,Wandsworth Borough Council
Children's home,East of England,Norfolk,Private,6,Flying Spur Limited
Children's home,East of England,Essex,Private,2,Cambian Childcare Ltd
Children's home,West Midlands,Staffordshire,Private,2,Albrighton Care Ltd
Children's home,"North East, Yorkshire and the Humber",Middlesbrough,Local Authority,3,Middlesbrough Borough Council
Children's home,East of England,Essex,Private,7,Little Belsteads Care Home Limited
Children's home,North West,Wirral,Private,3,Keys Group Progressive Care & Education Limited
Children's home,East of England,Essex,Private,3,Shalamar Children Limited
Children's home,North West,Lancashire,Private,4,Horizon Care and Education Group Limited
Children's home,West Midlands,Birmingham,Private,3,Beacon Childcare Limited
Children's home,North West,Lancashire,Private,4,Sandcastle Care Ltd
Children's home,West Midlands,Staffordshire,Private,3,Berry Gifford Ltd
Children's home,East Midlands,Northamptonshire,Private,4,Total Care Matters Ltd
Children's home,North West,Cheshire West and Chester,Private,2,Footsteps A Path To Change 08 Ltd
Children's home,South East,West Berkshire,Private,6,Calcot Services For Children Ltd
Children's home,West Midlands,Staffordshire,Private,5,Hillcrest Children's Services (2) Limited
Children's home,North West,Lancashire,Private,3,Cherish Children's Care
Residential special school (registered as a children's home),South West,Gloucestershire,Voluntary,42,Cotswold Chine School
Children's home,South East,Wokingham,Local Authority,5,Wokingham Borough Council
Children's home,"North East, Yorkshire and the Humber",Leeds,Private,4,The Partnership Of Care Today
Independent Fostering Agency,East of England,Suffolk,Private,,Eastern Family Services Ltd
Children's home,"North East, Yorkshire and the Humber",Durham,Private,3,Hennessy Living Group Limited
Children's home,East of England,Central Bedfordshire,Private,6,White Orchid Marston Moretaine Limited
Children's home,"North East, Yorkshire and the Humber",Bradford,Private,6,Hexagon Care Services Limited
Children's home,North West,Bolton,Voluntary,3,Birtenshaw
Children's home,"North East, Yorkshire and the Humber",Darlington,Private,7,Witherslack Group Ltd
Children's home,South East,West Sussex,Private,5,Southern Adolescent Care Services Ltd
Children's home,"North East, Yorkshire and the Humber",Hartlepool,Private,4,North East Specialist Therapeutic Services Cic
Children's home,North West,Bolton,Voluntary,4,Birtenshaw
Children's home,West Midlands,Wolverhampton,Private,4,Friends & Co Limited
Children's home,East Midlands,Northamptonshire,Private,2,Good News Nwk Ltd
Children's home,North West,Cumbria,Private,6,Reflexion Care Group Limited
Adoption Support Agency,"North East, Yorkshire and the Humber",Kingston upon Hull,Private,,Time To Listen Ltd
Children's home,South East,West Sussex,Private,4,My Choice Children's Homes Ltd
Children's home,South East,Kent,Private,4,Acorn Homes (uk) Limited
Further Education College with Residential Accommodation,East Midlands,Nottinghamshire,Private,189,Central College Nottingham
Children's home,West Midlands,Staffordshire,Private,4,Haven Care Group Ltd
Children's home,North West,Cumbria,Private,4,Witherslack Group Ltd
Children's home,North West,Lancashire,Private,2,Next Stage 4Life LTD
